,Repo: https://github.com/NCSU-Group7-SE2021/slash/, ,,
,,,,
,Notes,Points,Links,Reason
,Video,3,https://github.com/NCSU-Group7-SE2021/slash/blob/main/assets/slash-phase3.gif,
,"Workload is spread over the whole team (one team member is often Xtimes more productive than the others...but nevertheless, here is a track record that everyone is contributing a lot)",3,,
,Number of commits,3,,A total of 369 commits can be seen
,Number of commits: by different people,3,,A good amount of different user commits between september and november
,Issues reports: there are many,2,,There aren't a lot of issues that were reported
,Issues are being closed,3,,
,DOI badge: exists,3,https://zenodo.org/record/5739423,
,"Docs: doco generated, format not ugly",3,https://github.com/NCSU-Group7-SE2021/slash/tree/main,
,Docs: what: point descriptions of each class/function (in isolation),2,,Most of the codes have descriptions. But there are a few exceptions where description is missing. 
,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,,Old version has good tutorials but the new version doesn't. 
,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,,A combination of video + words used to describe the tool. 
,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",2,,Short video available but not extremely attractive
,Use of version control tools,0,,
,Use of style checkers,3,https://github.com/NCSU-Group7-SE2021/slash/blob/main/client/.prettierrc,
,Use of code formatters.,3,https://github.com/NCSU-Group7-SE2021/slash/blob/main/src/scraper/formattr.py,
,Use of syntax checkers.,3,https://github.com/NCSU-Group7-SE2021/slash/blob/main/.github/workflows/python-app.yml,
,Use of code coverage,3,https://app.codecov.io/gh/NCSU-Group7-SE2021/slash,
,Other automated analysis tools,0,,
,Test cases exist,3,https://github.com/NCSU-Group7-SE2021/slash/tree/main/tests,
,Test cases are routinely executed,3,https://github.com/NCSU-Group7-SE2021/slash/actions,
,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/NCSU-Group7-SE2021/slash/blob/main/CONTRIBUTING.md,
,Issues are discussed before they are closed,2,,Coonsiderable amount of issues have comments before getting closed
,Chat channel: exists,0,,
,Test cases: a large proportion of the issues related to handling failing cases.,1,https://github.com/NCSU-Group7-SE2021/slash/issues?q=is%3Aissue+is%3Aclosed,
,Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,,
,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,,
,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,,
,Evidence that the members of the team are working across multiple places in the code base,3,,
,Short release cycles,1,,Only three releases noticed in the repo and the last release was two years ago
