,,,
,Questions,Assesment,Evidence
," Does your website and documentation provide a clear, high-level overview of your software?",Yes,
,Does your website and documentation clearly describe the type of user who should use your software?,Yes,https://github.com/jayrshah98/GITS2.1-I.R.I.S/blob/master/docs/GITS2.0-IRIS%202-page%20Report.pdf
,Do you publish case studies to show how your software has been used by yourself and others?,No,
,Is the name of your project/software unique?,Yes,
,Is your project/software name free from trademark violations?,Yes,
,Is your software available as a package that can be deployed without building it?,No,You need install requirements as per your OS
, Is your software available for free?,Yes,
,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,
,"Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,
,Is your documentation clearly available on your website or within your software?,Yes,
,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,Mini video
,"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Not Applicable,Because extensive document already provided
,"Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,
,Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,
,"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",Yes,
,Do you store your documentation under revision control with your source code?,Yes,
,"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,
,Does your software describe how a user can get help with using your software?,Yes,
,"Does your website and documentation describe what support, if any, you provide to users and developers?",No,
,Does your project have an e-mail address or forum that is solely for supporting users?,No,
, Are e-mails to your support e-mail address received by more than one person?,Not Applicable,Because there is no email ID provided for support
,Does your project have a ticketing system to manage bug reports and feature requests?,Yes,
," Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,
,Is your software’s architecture and design modular?,Yes,
,Does your software use an accepted coding standard or convention?,Yes,
,"Does your software allow data to be imported and exported using open data formats?
*
e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",Yes,
,"Does your software allow communications using open communications protocols?
*
e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",Yes,
,"Is your software cross-platform compatible?
*
e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",No,"Currently only implemented for windows,macos and linux separately. We are planning to make it platform independent"
,Does your software adhere to appropriate accessibility conventions or standards?,Yes,
,Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,
,Is your source code stored in a repository under revision control?,Yes,
,Is each source code release a snapshot of the repository?,Yes,
,Are releases tagged in the repository?,Yes,
,"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,
,Do you back-up your repository?,No,
,Do you provide publicly-available instructions for building your software from the source code?,Yes,
,"Can you build, or package, your software using an automated tool?
*
e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",Yes,
,Do you provide publicly-available instructions for deploying your software?,Yes,
,Does your documentation list all third-party dependencies?,Yes,
,Does your documentation list the version number for all third-party dependencies?,Yes,
,"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Yes,
,"Can you download dependencies using a dependency management tool or package manager?
*
e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",Yes,
,Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,
,Do you have an automated test suite for your software?,No,
, Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,
,"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",No,
,Are your test results publicly visible?,Yes,
,Are all manually-run tests documented?,Yes,
,"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?
*
e.g. release announcements, publications, workshops, conference presentations",No,
,Does your website state how many projects and users are associated with your project?,Yes,
,Do you provide success stories on your website?,Yes,Issues closed and open
,Do you list your important partners and collaborators on your website?,Yes,
,Do you list your project's publications on your website or link to a resource where these are available?,Yes,
,Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,Yes,
,Can users subscribe to notifications to changes to your source code repository?,No,
,"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",Not Applicable,
,"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,
,Do you have a contributions policy?,No,
,Is your contributions' policy publicly available?,Not Applicable,
,Do contributors keep the copyright/IP of their contributions?,Yes,
,Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,
,Does each of your source code files include a copyright statement?,Yes,
,Does your website and documentation clearly state the licence of your software?,Yes,
,Is your software released under an open source licence?,Yes,
,Is your software released under an OSI-approved open-source licence?,Yes,
,Does each of your source code files include a licence header?,No,
,Do you have a recommended citation for your software?,Yes,
,"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Yes,
,"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
," Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
