Repo: https://github.com/nehajaideep/WolfTrack3.0,,
,,
Notes,Assesment,Evidence
Video,2,https://youtu.be/3_JZxAd9lcs
Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,2,https://github.com/nehajaideep/WolfTrack3.0/graphs/contributors
"but nevertheless, here is a track record that everyone is contributing a lot)",2,evidence in GH
Number of commits,3,in GH
Number of commits: by different people,2,in GH
Issues reports: there are many,2,in GH
Issues are being closed,3,evidence in GH
DOI badge: exists,3,in GH
"Docs: doco generated, format not ugly",3,in GH
Docs: what: point descriptions of each class/function (in isolation),3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/docs/WolfTrack3.0_Documentation.pdf
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/docs/WolfTrack_3.0_UseCase.docx
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,GH readme
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,GH readme
Use of version control tools,3,GH readme
Use of style checkers,3,GH readme
Use of code formatters.,3,used https://marketplace.visualstudio.com/items?itemName=esbenp.prettier-vscode and https://marketplace.visualstudio.com/items?itemName=lonefy.vscode-JS-CSS-HTML-formatter
Use of syntax checkers.,3,config files iin GH showing this checker's config
Use of code coverage,3,https://github.com/nehajaideep/WolfTrack3.0/blob/Group10StableBranch/.github/workflows/coverage.yml
Other automated analysis tools,,config files in GH
Test cases exist,3,dozens of tests and all methods are tested.
Test cases are routinely executed,3,https://github.com/nehajaideep/WolfTrack3.0/actionss
The files http://contributing.md/ lists coding standards and lots of tips on how to extend the system without screwing things up,3,the http://contributing.md file has tips to extend the system without breaking it.
Issues are discussed before they are closed,3,they’re discussed under the issues tab
Chat channel: exists,0,Link or screenshots
Test cases: a large proportion of the issues related to handling failing cases.,2,"If a test case fails, open an issue and fix it but majority are not issues related failing testcase."
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,
Evidence that the members of the team are working across multiple places in the code base,3,In the code files multiple contributors to different parts of the project
Short release cycles,,(hard to see in short projects) project members are committing often enough so that everyone can get your work
